Date,Description,Type,Amount,Outstanding Balance,Accrued Daily Interest,Interest Paid to Date
9/5/19,paycheck,Income,3192,28832,11.84876712,5722.688219
9/9/19,credit card,Expense,5120,33952,38.37041096,5761.05863
9/20/19,paycheck,Income,3192,30760,47.40410959,5808.46274
10/5/19,paycheck,Income,3192,27568,11.32931507,5819.792055
10/9/19,credit card,Expense,5120,32688,36.94191781,5856.733973
10/20/19,paycheck,Income,3192,29496,48.48657534,5905.220548
11/5/19,paycheck,Income,3192,26304,10.80986301,5916.030411
11/9/19,credit card,Expense,5120,31424,35.51342466,5951.543836
11/20/19,paycheck,Income,3192,28232,43.50821918,5995.052055
12/5/19,paycheck,Income,3192,25040,10.29041096,6005.342466
12/9/19,credit card,Expense,5120,30160,34.08493151,6039.427397
12/20/19,paycheck,Income,3192,26968,44.3309589,6083.758356
1/5/20,paycheck,Income,3192,23776,9.770958904,6093.529315
1/9/20,credit card,Expense,5120,28896,32.65643836,6126.185753
1/20/20,paycheck,Income,3192,25704,42.25315068,6168.438904
2/5/20,paycheck,Income,3192,22512,9.251506849,6177.690411
2/9/20,credit card,Expense,5120,27632,31.22794521,6208.918356
2/20/20,paycheck,Income,3192,24440,35.15342466,6244.071781
3/5/20,paycheck,Income,3192,21248,8.732054795,6252.803836
3/9/20,credit card,Expense,5120,26368,29.79945205,6282.603288
3/20/20,paycheck,Income,3192,23176,38.09753425,6320.700822
4/5/20,paycheck,Income,3192,19984,8.21260274,6328.913425
4/9/20,credit card,Expense,5120,25104,28.3709589,6357.284384
4/20/20,paycheck,Income,3192,21912,33.76849315,6391.052877
5/5/20,paycheck,Income,3192,18720,7.693150685,6398.746027
5/9/20,credit card,Expense,5120,23840,26.94246575,6425.688493
5/20/20,paycheck,Income,3192,20648,33.94191781,6459.630411
6/5/20,paycheck,Income,3192,17456,7.17369863,6466.80411
6/9/20,credit card,Expense,5120,22576,25.5139726,6492.318082
6/20/20,paycheck,Income,3192,19384,29.87260274,6522.190685
7/5/20,paycheck,Income,3192,16192,6.654246575,6528.844932
7/9/20,credit card,Expense,5120,21312,24.08547945,6552.930411
7/20/20,paycheck,Income,3192,18120,29.78630137,6582.716712
8/5/20,paycheck,Income,3192,14928,6.134794521,6588.851507
8/9/20,credit card,Expense,5120,20048,22.6569863,6611.508493
8/20/20,paycheck,Income,3192,16856,27.70849315,6639.216986
9/5/20,paycheck,Income,3192,13664,5.615342466,6644.832329
9/9/20,credit card,Expense,5120,18784,21.22849315,6666.060822
9/20/20,paycheck,Income,3192,15592,24.02876712,6690.089589
10/5/20,paycheck,Income,3192,12400,5.095890411,6695.185479
10/9/20,credit card,Expense,5120,17520,19.8,6714.985479
10/20/20,paycheck,Income,3192,14328,23.55287671,6738.538356
11/5/20,paycheck,Income,3192,11136,4.576438356,6743.114795
11/9/20,credit card,Expense,5120,16256,18.37150685,6761.486301
11/20/20,paycheck,Income,3192,13064,20.13287671,6781.619178
12/5/20,paycheck,Income,3192,9872,4.056986301,6785.676164
12/9/20,credit card,Expense,5120,14992,16.9430137,6802.619178
12/20/20,paycheck,Income,3192,11800,19.39726027,6822.016438
1/5/21,paycheck,Income,3192,8608,3.537534247,6825.553973
1/9/21,credit card,Expense,5120,13728,15.51452055,6841.068493
1/20/21,paycheck,Income,3192,10536,17.31945205,6858.387945
2/5/21,paycheck,Income,3192,7344,3.018082192,6861.406027
2/9/21,credit card,Expense,5120,12464,14.0860274,6875.492055
2/20/21,paycheck,Income,3192,9272,12.38383562,6887.87589
3/5/21,paycheck,Income,3192,6080,2.498630137,6890.374521
3/9/21,credit card,Expense,5120,11200,12.65753425,6903.032055
3/20/21,paycheck,Income,3192,8008,13.16383562,6916.19589
4/5/21,paycheck,Income,3192,4816,1.979178082,6918.175068
4/9/21,credit card,Expense,5120,9936,11.2290411,6929.40411
4/20/21,paycheck,Income,3192,6744,10.39315068,6939.79726
5/5/21,paycheck,Income,3192,3552,1.459726027,6941.256986
5/9/21,credit card,Expense,5120,8672,9.800547945,6951.057534
5/20/21,paycheck,Income,3192,5480,9.008219178,6960.065753
6/5/21,paycheck,Income,3192,2288,0.940273973,6961.006027
6/9/21,credit card,Expense,5120,7408,8.372054795,6969.378082
6/20/21,paycheck,Income,3192,4216,6.497260274,6975.875342
7/5/21,paycheck,Income,3192,1024,0.420821918,6976.296164
7/9/21,credit card,Expense,5120,6144,6.943561644,6983.239726
7/20/21,paycheck,Income,3192,2952,4.85260274,6988.092329
8/5/21,paycheck,Income,3192,-240,-0.098630137,6987.993699
8/9/21,credit card,Expense,5120,null,null,null
8/20/21,paycheck,Income,3192,null,null,null
9/5/21,paycheck,Income,3192,null,null,null
9/9/21,credit card,Expense,5120,null,null,null
9/20/21,paycheck,Income,3192,null,null,null
10/5/21,paycheck,Income,3192,null,null,null
10/9/21,credit card,Expense,5120,null,null,null
10/20/21,paycheck,Income,3192,null,null,null
11/5/21,paycheck,Income,3192,null,null,null
11/9/21,credit card,Expense,5120,null,null,null
11/20/21,paycheck,Income,3192,null,null,null
12/5/21,paycheck,Income,3192,null,null,null
12/9/21,credit card,Expense,5120,null,null,null
12/20/21,paycheck,Income,3192,null,null,null
1/5/22,paycheck,Income,3192,null,null,null
1/9/22,credit card,Expense,5120,null,null,null
1/20/22,paycheck,Income,3192,null,null,null
2/5/22,paycheck,Income,3192,null,null,null
2/9/22,credit card,Expense,5120,null,null,null
2/20/22,paycheck,Income,3192,null,null,null
3/5/22,paycheck,Income,3192,null,null,null
3/9/22,credit card,Expense,5120,null,null,null
3/20/22,paycheck,Income,3192,null,null,null
4/5/22,paycheck,Income,3192,null,null,null
4/9/22,credit card,Expense,5120,null,null,null
4/20/22,paycheck,Income,3192,null,null,null
5/5/22,paycheck,Income,3192,null,null,null
5/9/22,credit card,Expense,5120,null,null,null
5/20/22,paycheck,Income,3192,null,null,null
6/5/22,paycheck,Income,3192,null,null,null
6/9/22,credit card,Expense,5120,null,null,null
6/20/22,paycheck,Income,3192,null,null,null
7/5/22,paycheck,Income,3192,null,null,null
7/9/22,credit card,Expense,5120,null,null,null
7/20/22,paycheck,Income,3192,null,null,null
8/5/22,paycheck,Income,3192,null,null,null
8/9/22,credit card,Expense,5120,null,null,null
8/20/22,paycheck,Income,3192,null,null,null
9/5/22,paycheck,Income,3192,null,null,null
9/9/22,credit card,Expense,5120,null,null,null
9/20/22,paycheck,Income,3192,null,null,null
10/5/22,paycheck,Income,3192,null,null,null
10/9/22,credit card,Expense,5120,null,null,null
10/20/22,paycheck,Income,3192,null,null,null
11/5/22,paycheck,Income,3192,null,null,null
11/9/22,credit card,Expense,5120,null,null,null
11/20/22,paycheck,Income,3192,null,null,null
12/5/22,paycheck,Income,3192,null,null,null
12/9/22,credit card,Expense,5120,null,null,null
12/20/22,paycheck,Income,3192,null,null,null
1/5/23,paycheck,Income,3192,null,null,null
1/9/23,credit card,Expense,5120,null,null,null
1/20/23,paycheck,Income,3192,null,null,null
2/5/23,paycheck,Income,3192,null,null,null
2/9/23,credit card,Expense,5120,null,null,null
2/20/23,paycheck,Income,3192,null,null,null
3/5/23,paycheck,Income,3192,null,null,null
3/9/23,credit card,Expense,5120,null,null,null
3/20/23,paycheck,Income,3192,null,null,null
4/5/23,paycheck,Income,3192,null,null,null
4/9/23,credit card,Expense,5120,null,null,null
4/20/23,paycheck,Income,3192,null,null,null
5/5/23,paycheck,Income,3192,null,null,null
5/9/23,credit card,Expense,5120,null,null,null
5/20/23,paycheck,Income,3192,null,null,null
6/5/23,paycheck,Income,3192,null,null,null
6/9/23,credit card,Expense,5120,null,null,null
6/20/23,paycheck,Income,3192,null,null,null
7/5/23,paycheck,Income,3192,null,null,null
7/9/23,credit card,Expense,5120,null,null,null
7/20/23,paycheck,Income,3192,null,null,null
8/5/23,paycheck,Income,3192,null,null,null
8/9/23,credit card,Expense,5120,null,null,null
8/20/23,paycheck,Income,3192,null,null,null
9/5/23,paycheck,Income,3192,null,null,null
9/9/23,credit card,Expense,5120,null,null,null
9/20/23,paycheck,Income,3192,null,null,null
10/5/23,paycheck,Income,3192,null,null,null
10/9/23,credit card,Expense,5120,null,null,null
10/20/23,paycheck,Income,3192,null,null,null
11/5/23,paycheck,Income,3192,null,null,null
11/9/23,credit card,Expense,5120,null,null,null
11/20/23,paycheck,Income,3192,null,null,null
12/5/23,paycheck,Income,3192,null,null,null
12/9/23,credit card,Expense,5120,null,null,null
12/20/23,paycheck,Income,3192,null,null,null
1/5/24,paycheck,Income,3192,null,null,null
1/9/24,credit card,Expense,5120,null,null,null
1/20/24,paycheck,Income,3192,null,null,null
2/5/24,paycheck,Income,3192,null,null,null
2/9/24,credit card,Expense,5120,null,null,null
2/20/24,paycheck,Income,3192,null,null,null
3/5/24,paycheck,Income,3192,null,null,null
3/9/24,credit card,Expense,5120,null,null,null
3/20/24,paycheck,Income,3192,null,null,null
4/5/24,paycheck,Income,3192,null,null,null
4/9/24,credit card,Expense,5120,null,null,null
4/20/24,paycheck,Income,3192,null,null,null
5/5/24,paycheck,Income,3192,null,null,null
5/9/24,credit card,Expense,5120,null,null,null
5/20/24,paycheck,Income,3192,null,null,null
6/5/24,paycheck,Income,3192,null,null,null
6/9/24,credit card,Expense,5120,null,null,null
6/20/24,paycheck,Income,3192,null,null,null
7/5/24,paycheck,Income,3192,null,null,null
7/9/24,credit card,Expense,5120,null,null,null
7/20/24,paycheck,Income,3192,null,null,null
8/5/24,paycheck,Income,3192,null,null,null
8/9/24,credit card,Expense,5120,null,null,null
8/20/24,paycheck,Income,3192,null,null,null
9/5/24,paycheck,Income,3192,null,null,null
9/9/24,credit card,Expense,5120,null,null,null
9/20/24,paycheck,Income,3192,null,null,null
10/5/24,paycheck,Income,3192,null,null,null
10/9/24,credit card,Expense,5120,null,null,null
10/20/24,paycheck,Income,3192,null,null,null
11/5/24,paycheck,Income,3192,null,null,null
11/9/24,credit card,Expense,5120,null,null,null
11/20/24,paycheck,Income,3192,null,null,null
12/5/24,paycheck,Income,3192,null,null,null
12/9/24,credit card,Expense,5120,null,null,null
12/20/24,paycheck,Income,3192,null,null,null
1/5/25,paycheck,Income,3192,null,null,null
1/9/25,credit card,Expense,5120,null,null,null
1/20/25,paycheck,Income,3192,null,null,null
2/5/25,paycheck,Income,3192,null,null,null
2/9/25,credit card,Expense,5120,null,null,null
2/20/25,paycheck,Income,3192,null,null,null
3/5/25,paycheck,Income,3192,null,null,null
3/9/25,credit card,Expense,5120,null,null,null
3/20/25,paycheck,Income,3192,null,null,null
4/5/25,paycheck,Income,3192,null,null,null
4/9/25,credit card,Expense,5120,null,null,null
4/20/25,paycheck,Income,3192,null,null,null
5/5/25,paycheck,Income,3192,null,null,null
5/9/25,credit card,Expense,5120,null,null,null
5/20/25,paycheck,Income,3192,null,null,null
6/5/25,paycheck,Income,3192,null,null,null
6/9/25,credit card,Expense,5120,null,null,null
6/20/25,paycheck,Income,3192,null,null,null
7/5/25,paycheck,Income,3192,null,null,null
7/9/25,credit card,Expense,5120,null,null,null
7/20/25,paycheck,Income,3192,null,null,null
