LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Dec 11 00:00:00 HST 2015] CalculatedFields [balance=489309.0, accruedInterest=53.622904109589044, runningAccruedInterest=1421.233232876712]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Tue Dec 15 00:00:00 HST 2015] CalculatedFields [balance=489559.0, accruedInterest=67.06287671232877, runningAccruedInterest=1488.2961095890407]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sun Dec 20 00:00:00 HST 2015] CalculatedFields [balance=487066.0, accruedInterest=66.7213698630137, runningAccruedInterest=1555.0174794520544]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Fri Dec 25 00:00:00 HST 2015] CalculatedFields [balance=487196.0, accruedInterest=0.0, runningAccruedInterest=1555.0174794520544]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Dec 25 00:00:00 HST 2015] CalculatedFields [balance=485771.0, accruedInterest=93.16156164383561, runningAccruedInterest=1648.17904109589]
LineItem [description=A+, amount=135.0, type=Expense, date=Fri Jan 01 00:00:00 HST 2016] CalculatedFields [balance=485906.0, accruedInterest=26.624986301369862, runningAccruedInterest=1674.80402739726]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Sun Jan 03 00:00:00 HST 2016] CalculatedFields [balance=486026.0, accruedInterest=26.631561643835617, runningAccruedInterest=1701.4355890410955]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Tue Jan 05 00:00:00 HST 2016] CalculatedFields [balance=483533.0, accruedInterest=39.742438356164385, runningAccruedInterest=1741.17802739726]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jan 08 00:00:00 HST 2016] CalculatedFields [balance=482108.0, accruedInterest=13.208438356164384, runningAccruedInterest=1754.3864657534243]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Sat Jan 09 00:00:00 HST 2016] CalculatedFields [balance=486108.0, accruedInterest=79.90816438356165, runningAccruedInterest=1834.294630136986]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Fri Jan 15 00:00:00 HST 2016] CalculatedFields [balance=486358.0, accruedInterest=66.62438356164384, runningAccruedInterest=1900.9190136986297]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Wed Jan 20 00:00:00 HST 2016] CalculatedFields [balance=483865.0, accruedInterest=26.513150684931507, runningAccruedInterest=1927.4321643835613]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jan 22 00:00:00 HST 2016] CalculatedFields [balance=482440.0, accruedInterest=39.65260273972603, runningAccruedInterest=1967.0847671232873]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Mon Jan 25 00:00:00 HST 2016] CalculatedFields [balance=482570.0, accruedInterest=92.54767123287671, runningAccruedInterest=2059.632438356164]
LineItem [description=A+, amount=135.0, type=Expense, date=Mon Feb 01 00:00:00 HST 2016] CalculatedFields [balance=482705.0, accruedInterest=26.44958904109589, runningAccruedInterest=2086.08202739726]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Wed Feb 03 00:00:00 HST 2016] CalculatedFields [balance=482825.0, accruedInterest=26.456164383561646, runningAccruedInterest=2112.5381917808218]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Fri Feb 05 00:00:00 HST 2016] CalculatedFields [balance=480332.0, accruedInterest=0.0, runningAccruedInterest=2112.5381917808218]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Feb 05 00:00:00 HST 2016] CalculatedFields [balance=478907.0, accruedInterest=52.48295890410959, runningAccruedInterest=2165.0211506849314]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Tue Feb 09 00:00:00 HST 2016] CalculatedFields [balance=482907.0, accruedInterest=79.38197260273972, runningAccruedInterest=2244.403123287671]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Mon Feb 15 00:00:00 HST 2016] CalculatedFields [balance=483157.0, accruedInterest=52.94871232876712, runningAccruedInterest=2297.351835616438]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Feb 19 00:00:00 HST 2016] CalculatedFields [balance=481732.0, accruedInterest=13.198136986301371, runningAccruedInterest=2310.5499726027397]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sat Feb 20 00:00:00 HST 2016] CalculatedFields [balance=479239.0, accruedInterest=65.64917808219178, runningAccruedInterest=2376.1991506849313]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Thu Feb 25 00:00:00 HST 2016] CalculatedFields [balance=479369.0, accruedInterest=65.66698630136986, runningAccruedInterest=2441.866136986301]
LineItem [description=A+, amount=135.0, type=Expense, date=Tue Mar 01 00:00:00 HST 2016] CalculatedFields [balance=479504.0, accruedInterest=26.27419178082192, runningAccruedInterest=2468.1403287671233]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Thu Mar 03 00:00:00 HST 2016] CalculatedFields [balance=479624.0, accruedInterest=13.140383561643835, runningAccruedInterest=2481.280712328767]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Mar 04 00:00:00 HST 2016] CalculatedFields [balance=478199.0, accruedInterest=13.101342465753426, runningAccruedInterest=2494.3820547945206]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sat Mar 05 00:00:00 HST 2016] CalculatedFields [balance=475706.0, accruedInterest=52.132164383561644, runningAccruedInterest=2546.5142191780824]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Wed Mar 09 00:00:00 HST 2016] CalculatedFields [balance=479706.0, accruedInterest=78.85578082191782, runningAccruedInterest=2625.3700000000003]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Tue Mar 15 00:00:00 HST 2016] CalculatedFields [balance=479956.0, accruedInterest=39.44843835616439, runningAccruedInterest=2664.8184383561647]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Mar 18 00:00:00 HST 2016] CalculatedFields [balance=478531.0, accruedInterest=26.220876712328767, runningAccruedInterest=2691.0393150684936]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sun Mar 20 00:00:00 HST 2016] CalculatedFields [balance=476038.0, accruedInterest=65.21068493150685, runningAccruedInterest=2756.2500000000005]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Fri Mar 25 00:00:00 HST 2016] CalculatedFields [balance=476168.0, accruedInterest=91.3198904109589, runningAccruedInterest=2847.5698904109595]
LineItem [description=A+, amount=135.0, type=Expense, date=Fri Apr 01 00:00:00 HST 2016] CalculatedFields [balance=476303.0, accruedInterest=0.0, runningAccruedInterest=2847.5698904109595]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Apr 01 00:00:00 HST 2016] CalculatedFields [balance=474878.0, accruedInterest=26.020712328767125, runningAccruedInterest=2873.590602739727]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Sun Apr 03 00:00:00 HST 2016] CalculatedFields [balance=474998.0, accruedInterest=26.027287671232877, runningAccruedInterest=2899.6178904109597]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Tue Apr 05 00:00:00 HST 2016] CalculatedFields [balance=472505.0, accruedInterest=51.7813698630137, runningAccruedInterest=2951.3992602739736]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Sat Apr 09 00:00:00 HST 2016] CalculatedFields [balance=476505.0, accruedInterest=78.3295890410959, runningAccruedInterest=3029.7288493150695]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Fri Apr 15 00:00:00 HST 2016] CalculatedFields [balance=476755.0, accruedInterest=0.0, runningAccruedInterest=3029.7288493150695]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Apr 15 00:00:00 HST 2016] CalculatedFields [balance=475330.0, accruedInterest=65.113698630137, runningAccruedInterest=3094.8425479452067]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Wed Apr 20 00:00:00 HST 2016] CalculatedFields [balance=472837.0, accruedInterest=64.77219178082193, runningAccruedInterest=3159.614739726029]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Mon Apr 25 00:00:00 HST 2016] CalculatedFields [balance=472967.0, accruedInterest=51.832, runningAccruedInterest=3211.4467397260287]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Apr 29 00:00:00 HST 2016] CalculatedFields [balance=471542.0, accruedInterest=25.837917808219178, runningAccruedInterest=3237.284657534248]
LineItem [description=A+, amount=135.0, type=Expense, date=Sun May 01 00:00:00 HST 2016] CalculatedFields [balance=471677.0, accruedInterest=25.84531506849315, runningAccruedInterest=3263.129972602741]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Tue May 03 00:00:00 HST 2016] CalculatedFields [balance=471797.0, accruedInterest=25.851890410958905, runningAccruedInterest=3288.9818630136997]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Thu May 05 00:00:00 HST 2016] CalculatedFields [balance=469304.0, accruedInterest=51.43057534246576, runningAccruedInterest=3340.4124383561652]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Mon May 09 00:00:00 HST 2016] CalculatedFields [balance=473304.0, accruedInterest=51.868931506849314, runningAccruedInterest=3392.2813698630143]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri May 13 00:00:00 HST 2016] CalculatedFields [balance=471879.0, accruedInterest=25.856383561643835, runningAccruedInterest=3418.137753424658]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Sun May 15 00:00:00 HST 2016] CalculatedFields [balance=472129.0, accruedInterest=64.67520547945206, runningAccruedInterest=3482.81295890411]
